department,full_name,company_name,email,phone_number,number_of_apartements,number_of_floors,number_of_basements,number_of_parking,number_of_stores,max_occupancy_per_floor,hours_of_activity ,service_level,number_of_elevators,installation_cost,total_cost
Residential,Nico Stable,Dynabox,nstableiw@is.gd,804-863-6416,246,66,10,,,,,Premium,26,$15053.07,$1092537.47
Residential,Armstrong Skettles,Quimm,askettlesix@nymag.com,626-126-9891,315,31,4,,,,,Premium,20,$10946.36,$485414.19
Residential,Marcos Daily,Twitterbridge,mdailyj6@moonfruit.com,360-569-7750,327,11,5,,,,,Excelium,16,$13550.50,$1478654.16
Residential,Casi Rowell,Cogibox,crowellja@about.com,303-634-1316,48,73,1,,,,,Premium,11,$10623.42,$480372.55
Residential,Rozina Hubane,Skiptube,rhubanejd@smh.com.au,273-810-0787,232,36,2,,,,,Standard,11,$10979.14,$867733.32
Residential,Patricio Snufflebottom,Zoonoodle,psnufflebottomjh@mediafire.com,971-171-1200,356,50,6,,,,,Excelium,10,$9468.57,$371920.58
Residential,Kristos Crock,Eire,kcrockji@springer.com,891-968-8307,207,8,6,,,,,Premium,19,$10023.24,$1946227.64
Residential,Allene Alner,Pixoboo,aalnerjk@free.fr,511-779-7405,388,21,3,,,,,Premium,7,$11067.80,$436453.46
Residential,Doretta Dobbings,Meejo,ddobbingsjm@usgs.gov,813-520-8281,129,85,4,,,,,Premium,2,$13849.71,$365865.86
Residential,Merl Cisson,Rhynyx,mcissonjt@bigcartel.com,198-575-4367,109,48,6,,,,,Standard,11,$10341.67,$2154693.90
Residential,Riobard Symones,Mycat,rsymonesjv@independent.co.uk,778-578-9097,371,98,1,,,,,Premium,17,$14833.83,$1295564.24
Residential,Melli Pughe,Twitterlist,mpughejz@vkontakte.ru,890-906-8572,346,63,8,,,,,Standard,23,$10036.10,$367389.97
Residential,Lynnet Whilder,Yotz,lwhilderk1@go.com,904-249-7424,207,31,4,,,,,Standard,15,$14131.87,$1595291.10
Residential,Amargo Colecrough,Feedspan,acolecroughk5@utexas.edu,415-421-6477,326,53,7,,,,,Excelium,20,$17232.83,$1065908.64
Residential,Georgena Norheny,Roomm,gnorhenyk6@goo.gl,431-858-7261,107,75,6,,,,,Premium,19,$13167.69,$1025522.89
Residential,Janela Claughton,Bluejam,jclaughtonk9@delicious.com,113-412-3878,162,65,8,,,,,Premium,2,$16503.53,$736980.33
Residential,Maurene Eginton,Flipbug,megintonkb@csmonitor.com,778-814-2485,293,63,10,,,,,Excelium,13,$12850.46,$743620.99
Residential,Christina Brownhall,Tagpad,cbrownhallkc@homestead.com,694-928-4715,209,5,1,,,,,Standard,2,$13136.68,$1635244.43
Residential,Filbert Craw,Dabvine,fcrawkg@imgur.com,771-737-0223,379,39,6,,,,,Standard,6,$17218.33,$2150316.86
Residential,Ellerey Lindeboom,Browsezoom,elindeboomkj@soundcloud.com,371-752-2646,22,13,5,,,,,Premium,1,$9888.71,$1591351.68
Residential,Lonee Temblett,Jabbersphere,ltemblettko@economist.com,961-116-7209,33,60,1,,,,,Standard,14,$17719.87,$960462.16
Residential,Anthony Sitlington,Skaboo,asitlingtonks@tinypic.com,669-884-8958,44,92,9,,,,,Premium,15,$13973.03,$1031274.88
Residential,Jessie Statter,Buzzdog,jstatterlf@biblegateway.com,332-800-0635,216,42,3,,,,,Premium,8,$8091.72,$954504.83
Residential,Evelyn Craxford,Photojam,ecraxfordlh@forbes.com,828-451-9838,146,33,7,,,,,Premium,15,$11691.14,$1103330.80
Residential,Iseabal Wallman,Skippad,iwallmanlo@wiley.com,203-267-2490,191,96,1,,,,,Standard,13,$7544.66,$1358243.52
Residential,Ariela Pigny,Browsedrive,apignylp@stumbleupon.com,740-776-0686,117,29,2,,,,,Standard,14,$14022.13,$2009022.95
Residential,Ora Tretter,Vitz,otretterlv@networkadvertising.org,823-437-8833,212,100,4,,,,,Excelium,11,$11805.97,$312159.31
Residential,Willetta Simmonds,Geba,wsimmondslw@ovh.net,264-704-2375,233,73,6,,,,,Excelium,19,$11218.90,$1141547.08
Residential,Phylys Brendel,Voonyx,pbrendellx@hubpages.com,666-645-3831,138,5,2,,,,,Excelium,1,$17354.32,$637464.00
Hybrid,Chaunce Dadswell,Babbleopia,cdadswella@wp.com,568-135-5395,20,95,5,946,5,156,19,Standard,11,$7347.09,$1445931.00
Hybrid,Aaren Sheach,Tagcat,asheache@instagram.com,844-797-4418,382,5,2,91,18,59,20,Standard,3,$8445.26,$713807.15
Hybrid,Johnnie Perse,Cogidoo,jperseg@nhs.uk,720-945-2047,75,27,5,585,7,179,15,Premium,5,$7947.49,$1437301.32
Hybrid,Urson Freire,Oba,ufreirei@geocities.jp,759-645-2029,320,13,8,755,20,208,12,Standard,28,$14573.84,$1451128.17
Hybrid,Martynne Ollenbuttel,Jaloo,mollenbuttelk@nsw.gov.au,915-406-7000,212,38,2,223,14,144,9,Premium,24,$8328.82,$1377811.96
Hybrid,Gregorio Wadham,Katz,gwadhamp@xing.com,624-653-8118,167,56,1,848,8,61,10,Excelium,22,$12199.02,$844043.33
Hybrid,Shaun Heavens,Jaxworks,sheavens10@cbsnews.com,341-414-7353,350,38,8,571,11,170,9,Premium,6,$10370.24,$1417844.47
Hybrid,Justina Sivyour,Youfeed,jsivyour13@g.co,976-607-2829,379,72,3,143,16,256,8,Standard,15,$8189.49,$2146592.92
Hybrid,Wadsworth Aitkin,Zoombeat,waitkin14@utexas.edu,613-555-7192,279,9,4,119,18,72,8,Premium,13,$10332.82,$1755146.33
Hybrid,Velvet Fabbri,Brainbox,vfabbri17@cisco.com,990-920-7212,338,37,4,279,19,161,17,Standard,16,$11442.93,$91746.91
